,url,email,phone,vk.com,instagram.com,facebook.com,image_source,schedule,title,ok.ru,address,metro_station
0,http://tancy.pro/,contract@tancy.pro,+7 (495) 109 05 05,https://vk.com/tancypro,https://www.instagram.com/alekseyfly/,, https://sun1-16.userapi.com/c852136/v852136697/1abd98/GrcPJBgctX0.jpg?ava=1,,,,"Большой Саввинский пер., 12, стр.8",
0,https://go-dance.com/tancy-dlya-vzroslyh/,studio@go-dance.com,,,https://www.instagram.com/p/B9KKamdlkvZ/,https://www.facebook.com/godancestudio/,https://go-dance.com/wp-content/uploads/2019/12/tancy-dlya-vzroslyh.jpg,,ТАНЦЫ ДЛЯ ВЗРОСЛЫХ,,,
0,http://major-tennis.ru/,info@major-tennis.ru,+7 (916) 576-57-75,https://vk.com/majortennisclub,https://www.instagram.com/majortennisclub/,https://www.facebook.com/majortennisclub/, https://sun9-40.userapi.com/c638428/v638428440/2caa3/8bRIpmBkzWk.jpg?ava=1,http://major-tennis.ru/ceny,Теннисный клуб MAJOR | Школа большого тенниса в Москве,,Электролитный проезд 3с2,
0,https://elizar-nt.ru/,info@elizar-nt.ru,+7(916)204-58-96,,https://www.instagram.com/elizarclub/?hl=ru,,,,,,,
0,http://tennis-play.net/index.php,,+7 499 408 03 23,http://vk.com/public42622100,,http://www.facebook.com/tennisplay.net?ref=hl,https://tennis-play.net/images/Fotos/Mainslides/tennis-school.jpg ,https://tennis-play.net/tseny-na-uroki-tennisa,Европейская школа большого тенниса в Москве,,,
0,http://tennis-first.ru/,Tfirst.ru@gmail.com,+7-916-023-64-34,,https://www.instagram.com/tennisfirst.ru/,https://www.facebook.com/tfirst.ru/,,,Tennis First — Московская школа тенниса,,,
0,http://hockeyschool.ru/,hockey-school@mail.ru,,https://vk.com/hockeyschoolmoscow,https://www.instagram.com/hockey.school.moscow/,https://www.facebook.com/groups/184285591613337/, https://sun9-62.userapi.com/c851536/v851536725/136296/C2KZhUijZp8.jpg?ava=1,,Школа хоккея для взрослых в Москве. Тренировки и игры для любителей. ХК Белый Шквал.,https://ok.ru/group/54007697047641,,
0,https://athockey.ru/,mail@athockey.ru,+7(495) 151 21 52,http://vk.com/athockey,https://instagram.com/athockey.ru,https://www.facebook.com/athockey/,https://athockey.ru/wp-content/themes/wpshopbiz/images/logon.png https://sun9-70.userapi.com/c622526/v622526353/423bd/Xhnsmja2YT4.jpg?ava=1,https://athockey.ru/raspisanie/,Хоккейная школа. Тренировки по хоккею в Москве ‒,,"Кутузовский проспект, д.14 , Москва",
0,https://chesstogo.ru/,hr@chesstogo.ru,+7(916)639-80-05,https://vk.com/chesstogo,https://www.instagram.com/chesstogo.ru/,https://www.facebook.com/chess.togo, https://sun9-35.userapi.com/c845421/v845421689/d330d/OPSR1Thhc8U.jpg?ava=1,,Школа Шахмат ChessToGo - Главная,,"улица Белы Куна, 19к1",Международная
0,https://volleyplay.ru,info@volleyplay.ru,8 (916) 244-67-13,http://vk.com/volleyplayru,https://www.instagram.com/volleyplay/,https://www.facebook.com/VolleyPlayRu,https://volleyplay.ru/wp-content/uploads/2017/09/VolleyPlay2.jpg https://sun9-22.userapi.com/c636617/v636617199/578ca/BwSD7LsDaJU.jpg?ava=1,https://volleyplay.ru/raspisanie-nachalnyiy-uroven/,Школа волейбола,,,
